,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,song_name,artist_name,artist_genres,artist_pop,song_genre
16,0.484,0.312,2,-13.522,1,0.0535,0.724,1.65e-06,0.0601,0.598,205.981,audio_features,4Y4Gd3ty8uut6Qw43c7yJc,spotify:track:4Y4Gd3ty8uut6Qw43c7yJc,https://api.spotify.com/v1/tracks/4Y4Gd3ty8uut6Qw43c7yJc,https://api.spotify.com/v1/audio-analysis/4Y4Gd3ty8uut6Qw43c7yJc,166827,4,(Sittin' On) the Dock of the Bay,Otis Redding,"['classic soul', 'memphis soul', 'soul', 'soul blues', 'southern soul']",73,r&b
17,0.719,0.967,0,-2.435,1,0.0552,0.0588,0.000249,0.206,0.964,79.505,audio_features,5WQ1hIc5d2EVbRQ8qsj8Uh,spotify:track:5WQ1hIc5d2EVbRQ8qsj8Uh,https://api.spotify.com/v1/tracks/5WQ1hIc5d2EVbRQ8qsj8Uh,https://api.spotify.com/v1/audio-analysis/5WQ1hIc5d2EVbRQ8qsj8Uh,235213,4,Hey Ya! - Radio Mix / Club Mix,Outkast,"['atl hip hop', 'dirty south rap', 'hip hop', 'old school atlanta hip hop', 'pop rap', 'rap', 'southern hip hop']",75, a mix of radio and club music.
18,0.359,0.949,0,-7.649,1,0.101,0.0556,0.000396,0.236,0.212,134.118,audio_features,3JS4Guc7Hld2JomrBybQIt,spotify:track:3JS4Guc7Hld2JomrBybQIt,https://api.spotify.com/v1/tracks/3JS4Guc7Hld2JomrBybQIt,https://api.spotify.com/v1/audio-analysis/3JS4Guc7Hld2JomrBybQIt,212480,4,Anarchy In The UK - Remastered 2012,Sex Pistols,"['punk', 'rock']",57,punk
19,0.541,0.854,2,-6.196,1,0.155,0.0254,0.000125,0.651,0.454,86.044,audio_features,5QlGALr14YMN0xIDmIwleg,spotify:track:5QlGALr14YMN0xIDmIwleg,https://api.spotify.com/v1/tracks/5QlGALr14YMN0xIDmIwleg,https://api.spotify.com/v1/audio-analysis/5QlGALr14YMN0xIDmIwleg,205200,4,Paper Planes,M.I.A.,"['dance pop', 'indietronica', 'new rave']",67,hip hop
20,0.653,0.797,0,-6.958,1,0.048,0.0738,0.0,0.0847,0.726,133.725,audio_features,5BXoDYim9Upsv8dsuSJQPa,spotify:track:5BXoDYim9Upsv8dsuSJQPa,https://api.spotify.com/v1/tracks/5BXoDYim9Upsv8dsuSJQPa,https://api.spotify.com/v1/audio-analysis/5BXoDYim9Upsv8dsuSJQPa,199733,4,London Calling,The Clash,"['classic rock', 'permanent wave', 'punk', 'rock']",70,punk rock
21,0.566,0.673,9,-10.814,1,0.306,0.565,1.13e-06,0.0438,0.583,114.385,audio_features,4sFbojhVXQv7dBC9PVCcRn,spotify:track:4sFbojhVXQv7dBC9PVCcRn,https://api.spotify.com/v1/tracks/4sFbojhVXQv7dBC9PVCcRn,https://api.spotify.com/v1/audio-analysis/4sFbojhVXQv7dBC9PVCcRn,377747,4,Sympathy For The Devil,The Rolling Stones,"['british invasion', 'classic rock', 'rock']",79,rock
22,0.39,0.502,10,-12.277,1,0.178,0.336,0.000138,0.0713,0.289,97.871,audio_features,5EuraV2jbqB15ihd3d2Hex,spotify:track:5EuraV2jbqB15ihd3d2Hex,https://api.spotify.com/v1/tracks/5EuraV2jbqB15ihd3d2Hex,https://api.spotify.com/v1/audio-analysis/5EuraV2jbqB15ihd3d2Hex,247320,4,Strawberry Fields Forever - Remastered,The Beatles,"['beatlesque', 'british invasion', 'classic rock', 'merseybeat', 'psychedelic rock', 'rock']",84,rock
23,0.532,0.591,0,-3.81,0,0.0591,0.782,0.0,0.0647,0.962,184.4,audio_features,3Os0VNtvEnRFlXSK5dvOFu,spotify:track:3Os0VNtvEnRFlXSK5dvOFu,https://api.spotify.com/v1/tracks/3Os0VNtvEnRFlXSK5dvOFu,https://api.spotify.com/v1/audio-analysis/3Os0VNtvEnRFlXSK5dvOFu,146640,4,Tutti Frutti,Little Richard,"['rock-and-roll', 'rockabilly', 'soul']",58,rock and roll
24,0.346,0.335,7,-12.453,1,0.0339,0.575,0.00674,0.185,0.213,84.204,audio_features,0AJ62x1CXjJf3VW25CeZXa,spotify:track:0AJ62x1CXjJf3VW25CeZXa,https://api.spotify.com/v1/tracks/0AJ62x1CXjJf3VW25CeZXa,https://api.spotify.com/v1/audio-analysis/0AJ62x1CXjJf3VW25CeZXa,478173,4,Stairway To Heaven,Led Zeppelin,"['album rock', 'classic rock', 'hard rock', 'rock']",77,rock
25,0.947,0.607,10,-10.58,0,0.202,0.0249,4.76e-06,0.0861,0.732,100.619,audio_features,5DuTNKFEjJIySAyJH1yNDU,spotify:track:5DuTNKFEjJIySAyJH1yNDU,https://api.spotify.com/v1/tracks/5DuTNKFEjJIySAyJH1yNDU,https://api.spotify.com/v1/audio-analysis/5DuTNKFEjJIySAyJH1yNDU,431800,4,The Message (feat. Melle Mel & Duke Bootee),Grandmaster Flash & The Furious Five,"['bronx hip hop', 'electro', 'old school hip hop']",44,hip hop
26,0.506,0.618,4,-11.278,1,0.0708,0.657,2.31e-05,0.248,0.789,89.023,audio_features,21WrPeWVmWWBAx0dXYck9L,spotify:track:21WrPeWVmWWBAx0dXYck9L,https://api.spotify.com/v1/tracks/21WrPeWVmWWBAx0dXYck9L,https://api.spotify.com/v1/audio-analysis/21WrPeWVmWWBAx0dXYck9L,386560,4,What'd I Say,Ray Charles,"['adult standards', 'classic soul', 'jazz blues', 'piano blues', 'soul', 'soul blues', 'vocal jazz']",68,r&b
27,0.547,0.257,0,-12.358,1,0.0252,0.907,0.183,0.0935,0.169,75.752,audio_features,7pKfPomDEeI4TPT6EOYjn9,spotify:track:7pKfPomDEeI4TPT6EOYjn9,https://api.spotify.com/v1/tracks/7pKfPomDEeI4TPT6EOYjn9,https://api.spotify.com/v1/audio-analysis/7pKfPomDEeI4TPT6EOYjn9,187867,4,Imagine - Remastered 2010,John Lennon,"['album rock', 'beatlesque', 'classic rock', 'mellow gold', 'rock']",78, pop.
28,0.214,0.4,10,-10.042,1,0.0342,0.756,0.0,0.325,0.508,169.683,audio_features,0RFKuagqUgR4X8C1QneCCq,spotify:track:0RFKuagqUgR4X8C1QneCCq,https://api.spotify.com/v1/tracks/0RFKuagqUgR4X8C1QneCCq,https://api.spotify.com/v1/audio-analysis/0RFKuagqUgR4X8C1QneCCq,191160,3,A Change Is Gonna Come,Sam Cooke,"['adult standards', 'classic soul', 'rock-and-roll', 'soul']",67, gospel.
29,0.478,0.774,7,-6.977,1,0.0292,0.000265,0.585,0.191,0.429,112.577,audio_features,5j6ZZwA9BnxZi5Bk0Ng4jB,spotify:track:5j6ZZwA9BnxZi5Bk0Ng4jB,https://api.spotify.com/v1/tracks/5j6ZZwA9BnxZi5Bk0Ng4jB,https://api.spotify.com/v1/audio-analysis/5j6ZZwA9BnxZi5Bk0Ng4jB,370373,4,Heroes - 1999 Remaster,David Bowie,"['art rock', 'classic rock', 'glam rock', 'permanent wave', 'rock']",78,rock
30,0.729,0.989,9,-4.613,0,0.049,0.0102,4.45e-05,0.443,0.84,126.47,audio_features,51H2y6YrNNXcy3dfc3qSbA,spotify:track:51H2y6YrNNXcy3dfc3qSbA,https://api.spotify.com/v1/tracks/51H2y6YrNNXcy3dfc3qSbA,https://api.spotify.com/v1/audio-analysis/51H2y6YrNNXcy3dfc3qSbA,352906,4,When Doves Cry,Prince,"['funk', 'funk rock', 'minneapolis sound', 'synth funk']",71, in the genre of pop.
31,0.609,0.657,1,-11.496,1,0.0695,0.0308,0.00221,0.071,0.872,100.607,audio_features,1kryOQS9FQDsbYY4db5zS5,spotify:track:1kryOQS9FQDsbYY4db5zS5,https://api.spotify.com/v1/tracks/1kryOQS9FQDsbYY4db5zS5,https://api.spotify.com/v1/audio-analysis/1kryOQS9FQDsbYY4db5zS5,266160,4,Superstition,Stevie Wonder,"['adult standards', 'motown', 'soul']",80, r&b.
32,0.319,0.839,0,-7.341,1,0.0404,0.00596,7.99e-05,0.0764,0.538,144.938,audio_features,0LEoCPq4QlV2h41Fm5ENJ3,spotify:track:0LEoCPq4QlV2h41Fm5ENJ3,https://api.spotify.com/v1/tracks/0LEoCPq4QlV2h41Fm5ENJ3,https://api.spotify.com/v1/audio-analysis/0LEoCPq4QlV2h41Fm5ENJ3,350373,4,Common People,Pulp,"['alternative rock', 'art rock', 'britpop', 'indie rock', 'new wave', 'permanent wave', 'pop rock', 'rock', 'sheffield indie']",60, a pop song.
33,0.63,0.616,1,-8.128,0,0.0309,0.463,0.0408,0.173,0.509,118.65,audio_features,1dv3ePjze9tPq2pk8eWJdR,spotify:track:1dv3ePjze9tPq2pk8eWJdR,https://api.spotify.com/v1/tracks/1dv3ePjze9tPq2pk8eWJdR,https://api.spotify.com/v1/audio-analysis/1dv3ePjze9tPq2pk8eWJdR,270773,4,Gimme Shelter,The Rolling Stones,"['british invasion', 'classic rock', 'rock']",79,rock
34,0.304,0.104,10,-15.835,0,0.0313,0.963,0.000291,0.177,0.0608,81.02,audio_features,2sq8Rz7pspqExxUF0gPaJ7,spotify:track:2sq8Rz7pspqExxUF0gPaJ7,https://api.spotify.com/v1/tracks/2sq8Rz7pspqExxUF0gPaJ7,https://api.spotify.com/v1/audio-analysis/2sq8Rz7pspqExxUF0gPaJ7,189360,3,Strange Fruit,Billie Holiday,"['adult standards', 'harlem renaissance', 'jazz', 'jazz blues', 'lounge', 'torch song', 'vocal jazz']",67,jazz
35,0.571,0.908,1,-8.208,1,0.0907,0.412,1.19e-06,0.0802,0.958,137.43,audio_features,4CZn7RvBSLun4ropg0UNZV,spotify:track:4CZn7RvBSLun4ropg0UNZV,https://api.spotify.com/v1/tracks/4CZn7RvBSLun4ropg0UNZV,https://api.spotify.com/v1/audio-analysis/4CZn7RvBSLun4ropg0UNZV,133573,4,You Really Got Me,The Kinks,"['album rock', 'art rock', 'british invasion', 'classic rock', 'folk rock', 'glam rock', 'mellow gold', 'protopunk', 'psychedelic rock', 'rock']",66,rock
36,0.646,0.77,2,-6.596,0,0.226,0.00249,0.0,0.0715,0.681,99.165,audio_features,5IVuqXILoxVWvWEPm82Jxr,spotify:track:5IVuqXILoxVWvWEPm82Jxr,https://api.spotify.com/v1/tracks/5IVuqXILoxVWvWEPm82Jxr,https://api.spotify.com/v1/audio-analysis/5IVuqXILoxVWvWEPm82Jxr,236133,4,Crazy In Love (feat. Jay-Z),Beyoncé,"['dance pop', 'pop', 'r&b']",87,r&b
37,0.745,0.466,4,-7.62,0,0.0864,0.00666,0.35,0.272,0.303,123.889,audio_features,3m6KkYKdnbffMpGd9Pm9FP,spotify:track:3m6KkYKdnbffMpGd9Pm9FP,https://api.spotify.com/v1/tracks/3m6KkYKdnbffMpGd9Pm9FP,https://api.spotify.com/v1/audio-analysis/3m6KkYKdnbffMpGd9Pm9FP,231920,4,Seven Nation Army,The White Stripes,"['alternative rock', 'blues rock', 'detroit rock', 'garage rock', 'modern blues rock', 'modern rock', 'permanent wave', 'punk blues', 'rock']",72,rock
38,0.672,0.841,9,-5.992,0,0.0285,0.0767,0.0,0.135,0.82,125.437,audio_features,74EV0g12ihUoOUXMprFpZB,spotify:track:74EV0g12ihUoOUXMprFpZB,https://api.spotify.com/v1/tracks/74EV0g12ihUoOUXMprFpZB,https://api.spotify.com/v1/audio-analysis/74EV0g12ihUoOUXMprFpZB,267733,4,Losing My Religion,R.E.M.,"['alternative rock', 'athens indie', 'permanent wave', 'pop rock', 'rock']",73, alternative rock.
39,0.304,0.901,9,-7.756,1,0.0602,0.00105,0.000376,0.158,0.541,147.199,audio_features,2mHchPRtQWet3iIS3jANr1,spotify:track:2mHchPRtQWet3iIS3jANr1,https://api.spotify.com/v1/tracks/2mHchPRtQWet3iIS3jANr1,https://api.spotify.com/v1/audio-analysis/2mHchPRtQWet3iIS3jANr1,199453,4,God Save The Queen,Sex Pistols,"['punk', 'rock']",57,punk
40,0.414,0.404,0,-9.928,0,0.0499,0.271,0.0,0.3,0.224,71.105,audio_features,1AhDOtG9vPSOmsWgNW0BEY,spotify:track:1AhDOtG9vPSOmsWgNW0BEY,https://api.spotify.com/v1/tracks/1AhDOtG9vPSOmsWgNW0BEY,https://api.spotify.com/v1/audio-analysis/1AhDOtG9vPSOmsWgNW0BEY,354320,4,Bohemian Rhapsody - Remastered 2011,Queen,"['classic rock', 'glam rock', 'rock']",86,rock
41,0.757,0.758,0,-7.873,1,0.0512,0.00708,0.831,0.112,0.918,130.505,audio_features,6tzeMSH4TRGBTzdNvbF5hr,spotify:track:6tzeMSH4TRGBTzdNvbF5hr,https://api.spotify.com/v1/tracks/6tzeMSH4TRGBTzdNvbF5hr,https://api.spotify.com/v1/audio-analysis/6tzeMSH4TRGBTzdNvbF5hr,447013,4,Blue Monday,New Order,"['alternative rock', 'art rock', 'dance rock', 'madchester', 'new romantic', 'new wave', 'new wave pop', 'permanent wave', 'post-punk', 'rock', 'synthpop', 'uk post-punk']",67, considered to be a classic in the genre.
42,0.533,0.905,2,-5.27,1,0.0754,0.00876,0.578,0.0698,0.486,108.9,audio_features,0wJoRiX5K5BxlqZTolB2LD,spotify:track:0wJoRiX5K5BxlqZTolB2LD,https://api.spotify.com/v1/tracks/0wJoRiX5K5BxlqZTolB2LD,https://api.spotify.com/v1/audio-analysis/0wJoRiX5K5BxlqZTolB2LD,170813,4,Purple Haze,Jimi Hendrix,"['acid rock', 'album rock', 'blues rock', 'classic rock', 'hard rock', 'proto-metal', 'psychedelic rock', 'rock']",71,rock
43,0.623,0.709,1,-9.818,0,0.0636,0.102,0.0,0.0967,0.948,122.394,audio_features,0iA3xXSkSCiJywKyo1UKjQ,spotify:track:0iA3xXSkSCiJywKyo1UKjQ,https://api.spotify.com/v1/tracks/0iA3xXSkSCiJywKyo1UKjQ,https://api.spotify.com/v1/audio-analysis/0iA3xXSkSCiJywKyo1UKjQ,165381,4,Louie Louie,The Kingsmen,['classic garage rock'],48,rock
44,0.639,0.548,8,-13.534,1,0.0394,0.29,9.68e-05,0.366,0.887,98.359,audio_features,3b0EOvScbZUc0qJx0E1L2z,spotify:track:3b0EOvScbZUc0qJx0E1L2z,https://api.spotify.com/v1/tracks/3b0EOvScbZUc0qJx0E1L2z,https://api.spotify.com/v1/audio-analysis/3b0EOvScbZUc0qJx0E1L2z,176333,4,I Want You Back,The Jackson 5,"['adult standards', 'motown']",77, a pop song from their debut album.
45,0.855,0.587,8,-4.589,1,0.0336,0.0505,0.00714,0.105,0.64,111.97,audio_features,1vxw6aYJls2oq3gW0DujAo,spotify:track:1vxw6aYJls2oq3gW0DujAo,https://api.spotify.com/v1/tracks/1vxw6aYJls2oq3gW0DujAo,https://api.spotify.com/v1/audio-analysis/1vxw6aYJls2oq3gW0DujAo,177466,4,Crazy,Gnarls Barkley,"['atl hip hop', 'neo soul']",65,r&b
46,0.357,0.389,1,-9.702,1,0.0269,0.569,0.0,0.099,0.324,94.211,audio_features,3no0tiiQldD3LnsxwVtnnk,spotify:track:3no0tiiQldD3LnsxwVtnnk,https://api.spotify.com/v1/tracks/3no0tiiQldD3LnsxwVtnnk,https://api.spotify.com/v1/audio-analysis/3no0tiiQldD3LnsxwVtnnk,224000,4,You've Lost That Lovin' Feelin' - Single Version,The Righteous Brothers,"['adult standards', 'brill building pop', 'bubblegum pop', 'rock-and-roll', 'rockabilly']",62, pop.
47,0.394,0.566,10,-9.435,1,0.0261,0.0304,3.64e-05,0.101,0.631,148.029,audio_features,0eY0YgyLAZ4gtM57wwYN7H,spotify:track:0eY0YgyLAZ4gtM57wwYN7H,https://api.spotify.com/v1/tracks/0eY0YgyLAZ4gtM57wwYN7H,https://api.spotify.com/v1/audio-analysis/0eY0YgyLAZ4gtM57wwYN7H,429933,4,Hey Jude - Remastered,The Beatles,"['beatlesque', 'british invasion', 'classic rock', 'merseybeat', 'psychedelic rock', 'rock']",84,pop
48,0.517,0.692,1,-7.273,0,0.0246,0.253,0.0,0.172,0.476,107.958,audio_features,784WsZD4irVO0PA5NCZbTi,spotify:track:784WsZD4irVO0PA5NCZbTi,https://api.spotify.com/v1/tracks/784WsZD4irVO0PA5NCZbTi,https://api.spotify.com/v1/audio-analysis/784WsZD4irVO0PA5NCZbTi,193293,4,Waterloo Sunset - Stereo,The Kinks,"['album rock', 'art rock', 'british invasion', 'classic rock', 'folk rock', 'glam rock', 'mellow gold', 'protopunk', 'psychedelic rock', 'rock']",66,rock
49,0.273,0.665,9,-8.795,1,0.0382,0.000458,0.000893,0.117,0.514,104.656,audio_features,7kw6yVmdZGuRcWGi4adXYT,spotify:track:7kw6yVmdZGuRcWGi4adXYT,https://api.spotify.com/v1/tracks/7kw6yVmdZGuRcWGi4adXYT,https://api.spotify.com/v1/audio-analysis/7kw6yVmdZGuRcWGi4adXYT,239027,4,Take Me Out,Franz Ferdinand,"['alternative rock', 'dance rock', 'indie rock', 'modern rock', 'rock', 'scottish rock']",68,indie rock
50,0.78,0.787,0,-6.653,1,0.209,0.533,0.134,0.122,0.668,177.835,audio_features,13KEdaWIc7T6ozEmnJjHy1,spotify:track:13KEdaWIc7T6ozEmnJjHy1,https://api.spotify.com/v1/tracks/13KEdaWIc7T6ozEmnJjHy1,https://api.spotify.com/v1/audio-analysis/13KEdaWIc7T6ozEmnJjHy1,237067,4,Get Ur Freak On,Missy Elliott,"['dance pop', 'hip hop', 'hip pop', 'pop rap', 'r&b', 'rap', 'urban contemporary', 'virginia hip hop']",70,hip-hop
51,0.654,0.523,9,-8.053,1,0.0349,0.8,0.0,0.285,0.851,126.819,audio_features,0AeYLiUH4QIEp7I8yrXyUo,spotify:track:0AeYLiUH4QIEp7I8yrXyUo,https://api.spotify.com/v1/tracks/0AeYLiUH4QIEp7I8yrXyUo,https://api.spotify.com/v1/audio-analysis/0AeYLiUH4QIEp7I8yrXyUo,136853,4,That'll Be the Day,Buddy Holly & The Crickets,"['rock-and-roll', 'rockabilly']",41,rock and roll
52,0.413,0.725,3,-5.787,0,0.0324,0.369,2.16e-05,0.0905,0.44,124.618,audio_features,5uvosCdMlFdTXhoazkTI5R,spotify:track:5uvosCdMlFdTXhoazkTI5R,https://api.spotify.com/v1/tracks/5uvosCdMlFdTXhoazkTI5R,https://api.spotify.com/v1/audio-analysis/5uvosCdMlFdTXhoazkTI5R,429760,4,Light My Fire,The Doors,"['acid rock', 'album rock', 'classic rock', 'psychedelic rock', 'rock']",73, a rock song.
53,0.639,0.659,5,-16.098,0,0.0491,0.0166,0.633,0.116,0.92,126.436,audio_features,2WzEWQN3dI5rQSYH1y4FLM,spotify:track:2WzEWQN3dI5rQSYH1y4FLM,https://api.spotify.com/v1/tracks/2WzEWQN3dI5rQSYH1y4FLM,https://api.spotify.com/v1/audio-analysis/2WzEWQN3dI5rQSYH1y4FLM,201735,4,I Feel Love,Donna Summer,"['dance pop', 'disco', 'hi-nrg', 'new wave pop']",64,co
54,0.523,0.769,4,-5.855,1,0.0269,0.04,0.0,0.136,0.876,136.162,audio_features,0WQiDwKJclirSYG9v5tayI,spotify:track:0WQiDwKJclirSYG9v5tayI,https://api.spotify.com/v1/tracks/0WQiDwKJclirSYG9v5tayI,https://api.spotify.com/v1/audio-analysis/0WQiDwKJclirSYG9v5tayI,244587,4,There Is a Light That Never Goes Out - 2011 Remaster,The Smiths,"['madchester', 'new wave', 'permanent wave', 'rock', 'uk post-punk']",76,indie rock
